Name,URL,Main Language,Size
128x64,https://github.com/kreier/128x64,Python,7428
407B,https://github.com/kreier/407B,C++,29066
aa,https://github.com/kreier/aa,Python,110091
aa2023,https://github.com/kreier/aa2023,Python,13114
actuator,https://github.com/kreier/actuator,Jupyter Notebook,2347
AI-C3,https://github.com/kreier/AI-C3,,0
aisvn,https://github.com/kreier/aisvn,C++,7734
aisvn-solarpower,https://github.com/kreier/aisvn-solarpower,C++,19256
almond-bread-gl,https://github.com/kreier/almond-bread-gl,C,181803
android-compose-codelabs,https://github.com/kreier/android-compose-codelabs,Kotlin,604016
app1,https://github.com/kreier/app1,Jupyter Notebook,3412
aqi,https://github.com/kreier/aqi,C++,23101
ar65view,https://github.com/kreier/ar65view,Java,61509
arduino,https://github.com/kreier/arduino,C++,373717
asa,https://github.com/kreier/asa,C++,40546
asa2,https://github.com/kreier/asa2,C++,17659
asa3,https://github.com/kreier/asa3,Python,25740
badge,https://github.com/kreier/badge,Swift,10514
benchmark,https://github.com/kreier/benchmark,C,377702
benfords_law,https://github.com/kreier/benfords_law,Python,1346
beschleunigungssensor,https://github.com/kreier/beschleunigungssensor,,0
bilder,https://github.com/kreier/bilder,Python,3206
bluefruit,https://github.com/kreier/bluefruit,Python,20265
Burger1,https://github.com/kreier/Burger1,Swift,9176
calendar,https://github.com/kreier/calendar,Python,6528
circle_k,https://github.com/kreier/circle_k,JavaScript,755
circle_k_project-mrangstrup24,https://github.com/kreier/circle_k_project-mrangstrup24,JavaScript,1416
circuit-playground-express,https://github.com/kreier/circuit-playground-express,Python,51672
circuitpython,https://github.com/kreier/circuitpython,C,20615309
circuitpython-org,https://github.com/kreier/circuitpython-org,HTML,66294
circuitpython_vid_pid,https://github.com/kreier/circuitpython_vid_pid,Shell,117
circular_art_2022,https://github.com/kreier/circular_art_2022,JavaScript,1055
click-classifier,https://github.com/kreier/click-classifier,JavaScript,3994448
clpeak,https://github.com/kreier/clpeak,C++,77044
clue,https://github.com/kreier/clue,Python,290195
codespaces-jupyter,https://github.com/kreier/codespaces-jupyter,Jupyter Notebook,525074
collaborative-art_2021-2022,https://github.com/kreier/collaborative-art_2021-2022,JavaScript,2324
collatz,https://github.com/kreier/collatz,Python,891
communicationspeed,https://github.com/kreier/communicationspeed,Python,3050
control_system_examples_2023,https://github.com/kreier/control_system_examples_2023,Python,54983
coremark,https://github.com/kreier/coremark,C,61543
CoreMark-RP2040,https://github.com/kreier/CoreMark-RP2040,C,101248
creators,https://github.com/kreier/creators,,0
cru,https://github.com/kreier/cru,C++,1274544
csp,https://github.com/kreier/csp,Python,14683
csp2022,https://github.com/kreier/csp2022,Java,8587
csv-reader-pressures,https://github.com/kreier/csv-reader-pressures,Python,1126
cuda,https://github.com/kreier/cuda,Cuda,321
daniel2,https://github.com/kreier/daniel2,,0
dat.bike,https://github.com/kreier/dat.bike,Jupyter Notebook,10236
DeepReinforcementLearning,https://github.com/kreier/DeepReinforcementLearning,Jupyter Notebook,1313741
diary,https://github.com/kreier/diary,,0
docs,https://github.com/kreier/docs,C#,259
Dongjae_Collaborative-Project,https://github.com/kreier/Dongjae_Collaborative-Project,JavaScript,757
dragoncoin,https://github.com/kreier/dragoncoin,Solidity,24378
english-words,https://github.com/kreier/english-words,Python,1870
esp-idf,https://github.com/kreier/esp-idf,C,36192508
ESP32,https://github.com/kreier/ESP32,C++,35891
ESP8266,https://github.com/kreier/ESP8266,C++,179175
ESP_WiFiManager,https://github.com/kreier/ESP_WiFiManager,C++,241081
fan_tachometer,https://github.com/kreier/fan_tachometer,Python,34280
floatwheel,https://github.com/kreier/floatwheel,,0
Food-PMH,https://github.com/kreier/Food-PMH,Swift,4185
force-curves,https://github.com/kreier/force-curves,Python,1020
frc,https://github.com/kreier/frc,Java,19285
functions-and-modular-code,https://github.com/kreier/functions-and-modular-code,JavaScript,13653
GIPHYKEYBOARD-APP,https://github.com/kreier/GIPHYKEYBOARD-APP,HTML,12504
gocart23,https://github.com/kreier/gocart23,Python,200
gps-relativity,https://github.com/kreier/gps-relativity,SCSS,9850
hacks,https://github.com/kreier/hacks,C,1721
heatpipe,https://github.com/kreier/heatpipe,Python,3168
hello_world,https://github.com/kreier/hello_world,JavaScript,157
history,https://github.com/kreier/history,C++,68210
huidu_hd-wf4,https://github.com/kreier/huidu_hd-wf4,,0
impact,https://github.com/kreier/impact,Jupyter Notebook,17661
java23,https://github.com/kreier/java23,Java,8132
jetson,https://github.com/kreier/jetson,Shell,1765
jetson-car,https://github.com/kreier/jetson-car,Python,3145
jetson_nano_overclock,https://github.com/kreier/jetson_nano_overclock,C,759184433
keyboard,https://github.com/kreier/keyboard,Jupyter Notebook,11900
kinhthanh,https://github.com/kreier/kinhthanh,Python,7497
KLZ,https://github.com/kreier/KLZ,Java,640
kreier.github.io,https://github.com/kreier/kreier.github.io,SCSS,402
kreier.org-aqi,https://github.com/kreier/kreier.org-aqi,HTML,1326
labs,https://github.com/kreier/labs,Jupyter Notebook,407173
language-families,https://github.com/kreier/language-families,Python,1173
littleCV,https://github.com/kreier/littleCV,Swift,9412
llama.cpp-jetson,https://github.com/kreier/llama.cpp-jetson,Cuda,670218
llama.cpp-jetson.nano,https://github.com/kreier/llama.cpp-jetson.nano,Shell,6014
location24,https://github.com/kreier/location24,,0
logo,https://github.com/kreier/logo,Vue,28851
ls,https://github.com/kreier/ls,Jupyter Notebook,2050
magnet-spinny-thing,https://github.com/kreier/magnet-spinny-thing,Python,38229
managing-state,https://github.com/kreier/managing-state,Python,2136
mandelbrot-basic,https://github.com/kreier/mandelbrot-basic,Python,9007
mandelbrot-ios,https://github.com/kreier/mandelbrot-ios,Swift,7085
matthias_switches,https://github.com/kreier/matthias_switches,HTML,16880
me2arm,https://github.com/kreier/me2arm,Jupyter Notebook,2347
ml,https://github.com/kreier/ml,TypeScript,82758
movies,https://github.com/kreier/movies,Jupyter Notebook,3607
my_raspberry_pi,https://github.com/kreier/my_raspberry_pi,Python,49257
nam-electric,https://github.com/kreier/nam-electric,Jupyter Notebook,6704
nano-gpt,https://github.com/kreier/nano-gpt,Jupyter Notebook,17183
NhomHopCuoiTuan,https://github.com/kreier/NhomHopCuoiTuan,HTML,28150
notes,https://github.com/kreier/notes,,0
obsidian,https://github.com/kreier/obsidian,Python,1107
open-3d-viewer,https://github.com/kreier/open-3d-viewer,JavaScript,213028
P1P2MQTT,https://github.com/kreier/P1P2MQTT,C++,71651
p5js,https://github.com/kreier/p5js,JavaScript,47431
PhoneSelector,https://github.com/kreier/PhoneSelector,Swift,10769
